birth_band,universe_year,universe,n_child,n_women,n_women_weighted,probability,probability_weighted
1930-1939,1990,all_women,4,91106,1727329,0.15636381111259856,0.153801928203762
1930-1939,1990,all_women,5,51320,967903,0.08807971798013915,0.08618239357656003
1930-1939,1990,all_women,6,27815,520162,0.04773845198007737,0.04631539132286047
1930-1939,1990,all_women,7,15069,281341,0.02586269037885263,0.02505069288061198
1930-1939,1990,all_women,8,8771,161801,0.01505353091199923,0.014406812937950382
1930-1939,1990,all_women,9,5118,95422,0.008783943815712241,0.008496405486771413
1930-1939,1990,all_women,10,3067,55822,0.00526384440851689,0.004970408785002974
1930-1939,1990,all_women,11,1586,29745,0.0027220271378897254,0.002648504340760157
1930-1939,1990,all_women,12,2307,41544,0.003959468226425975,0.0036990910853097986
1930-1939,1990,ever_married,0,40870,813705,0.07322679882249444,0.07590062293721946
1930-1939,1990,ever_married,1,52657,1043079,0.09434557243934646,0.09729612804730453
1930-1939,1990,ever_married,2,129189,2504966,0.23146799395838596,0.2336577504581573
1930-1939,1990,ever_married,3,131107,2517253,0.23490447548864152,0.23480385494815012
1930-1939,1990,ever_married,4,90615,1716347,0.16235493944948212,0.16009709474124875
1930-1939,1990,ever_married,5,50900,958681,0.09119755468717805,0.08942366717431562
1930-1939,1990,ever_married,6,27529,514224,0.049323722651931724,0.04796569018166134
1930-1939,1990,ever_married,7,14864,277210,0.02663183600923801,0.025857542579222945
1930-1939,1990,ever_married,8,8613,158560,0.015431916277419737,0.014790130050725407
1930-1939,1990,ever_married,9,5012,93354,0.008980002830886766,0.008707856967428228
1930-1939,1990,ever_married,10,2984,54062,0.005346434247279751,0.005042785133717942
1930-1939,1990,ever_married,11,1554,29139,0.002784302553710701,0.0027180221969480807
1930-1939,1990,ever_married,12,2235,40083,0.004004450584004773,0.003738854583900268
